,similarity_score
1206,0.7164787
1207,0.7173579
1208,0.7707046
1209,0.7173703
1210,0.7547853
1211,0.7192607
1212,0.7549572
1213,0.73774356
1214,0.72756594
1215,0.75530535
1216,0.71652144
1217,0.7252513
1218,0.74512124
1219,0.703418
1220,0.7388268
1221,0.7100346
1222,0.7542683
1223,0.6937053
1224,0.6986177
1225,0.73874736
1226,0.7514506
1227,0.7232804
1228,0.7411022
1229,0.7638782
1230,0.75659215
1231,0.75175583
1232,0.7707046
1233,0.73922706
1234,0.73922706
1235,0.73806083
1236,0.71614707
1237,0.746243
1238,0.7676969
1239,0.71077263
1240,0.75648177
1241,0.7703569
1242,0.76935244
1243,0.7795732
1244,0.6413792
1245,0.72756594
1246,0.7168945
1247,0.7424635
1248,0.7419568
1249,0.78415805
1250,0.74512124
1251,0.7515954
1252,0.7493712
1253,0.73473215
1254,0.7158724
1255,0.7659196
1256,0.74836147
1257,0.7811711
1258,0.74905145
1259,0.7712312
1260,0.6846473
1261,0.7575224
1262,0.70480704
1263,0.7574238
1264,0.7574238
1265,0.7574238
1266,0.7226653
1267,0.707937
1268,0.76163685
1269,0.72248334
1270,0.7488034
1271,0.7731907
1272,0.7481569
1273,0.70446646
1274,0.73680544
1275,0.760225
1276,0.7281928
1277,0.7423062
1278,0.76126516
1279,0.7495245
1280,0.7624722
1281,0.7515954
1282,0.74350834
1283,0.71192276
1284,0.7354847
1285,0.75416076
1286,0.7202362
1287,0.7615798
1288,0.7569457
1289,0.71884143
1290,0.74194205
1291,0.72582453
1292,0.7259131
1293,0.74281645
1294,0.7232804
1295,0.7348521
1296,0.76687133
1297,0.7291629
1298,0.74015665
1299,0.76163685
1300,0.74886715
1301,0.7232804
1302,0.7778113
1303,0.7233031
1304,0.76284194
1305,0.76343
1306,0.7394428
1307,0.76343
1308,0.76935244
1309,0.7611972
1310,0.7419088
1311,0.73769516
1312,0.7220869
1313,0.7716315
1314,0.7251289
1315,0.76163685
1316,0.7556677
1317,0.61609
1318,0.7382021
1319,0.7256167
1320,0.7547853
1321,0.76687133
1322,0.76687133
1323,0.7417675
1324,0.72146505
1325,0.7845237
1326,0.7557607
1327,0.74376416
1328,0.7175436
1329,0.7164787
1330,0.7546413
1331,0.72865915
1332,0.7232804
1333,0.7583219
1334,0.7279233
1335,0.74277157
1336,0.7569457
1337,0.7563894
1338,0.7689723
1339,0.72054255
1340,0.7305961
1341,0.7133099
1342,0.7213503
1343,0.7142152
1344,0.7100346
1345,0.71401966
1346,0.72756594
1347,0.73061645
1348,0.77059555
1349,0.7481549
1350,0.74512124
1351,0.7189183
1352,0.76935244
1353,0.72308004
1354,0.7428836
1355,0.7493712
1356,0.7232804
1357,0.72756594
1358,0.72726184
1359,0.7765559
1360,0.7689723
1361,0.7170644
1362,0.79717064
1363,0.75966597
1364,0.7059078
1365,0.71614707
1366,0.6934444
1367,0.7147901
1368,0.7631276
1369,0.767869
1370,0.73191214
1371,0.6947742
1372,0.74471563
1373,0.74194205
1374,0.7291629
1375,0.75546676
1376,0.77169496
1377,0.72818714
1378,0.7255339
1379,0.72539353
1380,0.7643864
1381,0.7419088
1382,0.71595323
1383,0.7371102
1384,0.7468364
1385,0.7720978
1386,0.7215742
1387,0.7111281
1388,0.7495245
1389,0.72248334
1390,0.71234685
1391,0.7356547
1392,0.76306736
1393,0.7929359
1394,0.76016766
1395,0.7387674
1396,0.7397834
1397,0.7169876
1398,0.72842926
1399,0.7273759
1400,0.71652144
1401,0.7440311
1402,0.7398105
1403,0.7195316
1404,0.74512124
1405,0.75220317
1406,0.7274115
1407,0.72671854
1408,0.7415487
1409,0.7371614
1410,0.68841004
1411,0.7170763
1412,0.75966597
1413,0.70999753
1414,0.6998218
1415,0.7291629
1416,0.76027036
1417,0.73702204
1418,0.7494753
1419,0.76935244
1420,0.77160895
1421,0.7057463
1422,0.7788522
1423,0.7569457
1424,0.72833735
1425,0.74512124
1426,0.7620454
1427,0.7391834
1428,0.7391834
1429,0.7461719
1430,0.6907269
1431,0.6907269
1432,0.6907269
1433,0.6907269
1434,0.73115283
1435,0.7320292
1436,0.7161472
1437,0.70560616
1438,0.76343
1439,0.75133014
1440,0.7453089
1441,0.76640475
1442,0.7445535
1443,0.7624722
1444,0.69540447
1445,0.756843
1446,0.76885945
1447,0.7348521
1448,0.7161781
1449,0.7100346
1450,0.68848115
1451,0.6814021
1452,0.75342727
1453,0.7808601
1454,0.7808601
1455,0.63526344
1456,0.7291629
1457,0.7244288
1458,0.7499625
1459,0.69503415
1460,0.749115
1461,0.754655
1462,0.7087737
1463,0.73815256
1464,0.74881214
1465,0.7289195
1466,0.7808601
1467,0.7648903
1468,0.74512124
1469,0.7562633
1470,0.74789304
1471,0.75298697
1472,0.7187111
1473,0.7440311
1474,0.76935244
1475,0.7632408
1476,0.764377
1477,0.72893864
1478,0.7294593
1479,0.68848115
1480,0.7308239
1481,0.6998218
1482,0.74512124
1483,0.73769516
1484,0.73769516
1485,0.7265154
1486,0.75342727
1487,0.7158737
1488,0.7066579
1489,0.74025404
1490,0.7500304
1491,0.7576159
1492,0.7431265
1493,0.69280773
1494,0.71525943
1495,0.7164787
1496,0.73769516
1497,0.7284383
1498,0.7161781
1499,0.72756594
1500,0.76066256
1501,0.7330011
1502,0.7606709
1503,0.74512124
1504,0.71757364
1505,0.76065207
1506,0.7569457
1507,0.77669734
1508,0.7200109
1509,0.74512124
1510,0.7593285
1511,0.77669734
1512,0.7569457
1513,0.73781985
1514,0.7542683
1515,0.7255106
1516,0.7419568
1517,0.7638782
1518,0.7305461
1519,0.74614877
1520,0.7245703
1521,0.7377827
1522,0.7295277
1523,0.74471563
1524,0.7336303
1525,0.69191515
1526,0.76050794
1527,0.72476995
1528,0.77186537
1529,0.74753296
1530,0.7604571
1531,0.73707676
1532,0.72514063
1533,0.74000096
1534,0.7398256
1535,0.7771032
1536,0.75405645
1537,0.7142152
1538,0.7461806
